title,title_KO,title_ORG,type,genres,genres_KO,releaseYear,length,ratings,production_countries,imdbAverageRating,imdbNumVotes,isAvaliableInDifferentPlatform,platforms,director,best_rank,top10_period,top100_period,top1000_period,length_in_minutes
jigeum-uri-haggyoneun,지금 우리 학교는,N/A,tv,"Action, Dramas, Sci-Fi, Fantasy, Horror, Thriller","액션, 드라마, SF, 판타지, 공포, 스릴러",2022,1시간 1분,19,대한민국,7.5,72k,False,"Netflix, Netflix basic with Ads",N/A,1,12 DAYS,47 DAYS,510 DAYS,61.0
murder-mistery,머더 미스터리,Murder Mystery,movie,"Action, Comedy, Thriller, Crime, Romance","액션, 코미디, 스릴러, 범죄, 로맨스",2019,1시간 37분,15,미국,6.1,174k,False,"Netflix, Netflix basic with Ads",Kyle Newacheck,1,4 DAYS,36 DAYS,291 DAYS,97.0
jokeo,조커,Joker,movie,"Crime, Thriller, Dramas","범죄, 스릴러, 드라마",2019,2시간 2분,15,"캐나다, 미국",N/A,N/A,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Todd Phillips,1,121 DAYS,1038 DAYS,1883 DAYS,122.0
demiji,데미지,Damage,movie,"Dramas, Romance","드라마, 로맨스",1992,1시간 51분,N/A,"프랑스, 영국",6.7,21k,True,"Netflix, wavve, Netflix basic with Ads",Louis Malle,7,1 DAYS,7 DAYS,182 DAYS,111.0
lolo-and-the-kid,롤로와 키드,Lolo and the Kid,movie,"Dramas, Family","드라마, 가족",2024,1시간 37분,15,필리핀 제도,6.4,673,False,"Netflix, Netflix basic with Ads",Benedict Mique,14,0 DAYS,2 DAYS,8 DAYS,97.0
daman-ageseo-guhasoseo,다만 악에서 구하소서,N/A,movie,"Dramas, Thriller, Action, Crime","드라마, 스릴러, 액션, 범죄",2020,1시간 48분,15,대한민국,N/A,N/A,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Hong Won-chan,2,5 DAYS,37 DAYS,607 DAYS,108.0
office-girls,"달려라, 오피스 걸",小資女孩向前衝,tv,"Comedy, Dramas, Romance","코미디, 드라마, 로맨스",2011,45분,15,대만,6.8,207,False,"Netflix, Netflix basic with Ads",Fu-chun Hsu,39,0 DAYS,2 DAYS,178 DAYS,45.0
reidiseu-nais,레이디스 나잇,Rough Night,movie,"Comedy, Dramas","코미디, 드라마",2017,1시간 41분,N/A,미국,N/A,N/A,True,"Netflix, wavve, Netflix basic with Ads, Watcha",Lucia Aniello,2,6 DAYS,43 DAYS,1424 DAYS,101.0
adire,ADIRE,N/A,movie,Dramas,드라마,2023,2시간 4분,15+,나이지리아,6.5,90,False,"Netflix, Netflix basic with Ads",Adeoluwa Owu,11,0 DAYS,1 DAYS,6 DAYS,124.0
mideu-90,미드 90,mid90s,movie,"Dramas, Comedy","드라마, 코미디",2018,1시간 24분,N/A,미국,7.4,81k,True,"Netflix, wavve, Netflix basic with Ads",Jonah Hill,4,3 DAYS,30 DAYS,680 DAYS,84.0
breaking-the-silence-the-maria-soledad-case,침묵의 끝: 마리아 솔레다드 사건,Breaking the Silence: The Maria Soledad Case,movie,"Documentary, Crime","다큐멘터리, 범죄",2024,1시간 35분,N/A,Arjantin,6.3,341,False,"Netflix, Netflix basic with Ads",Lorena Muñoz,31,0 DAYS,3 DAYS,4 DAYS,95.0
love-rosie,"러브, 로지","Love, Rosie",movie,"Comedy, Romance, Dramas, Unknown","코미디, 로맨스, 드라마, 유럽에서 제작",2014,1시간 42분,N/A,"독일, 영국",7.1,158k,True,"Netflix, Netflix basic with Ads, Watcha, Naver Store",Christian Ditter,10,1 DAYS,24 DAYS,705 DAYS,102.0
yeobmun-4-deo-paineol,엽문 4: 더 파이널,葉問4,movie,"Action, Dramas, History","액션, 드라마, 역사",2019,1시간 47분,N/A,"China, 홍콩",7.0,38k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Wilson Yip,29,0 DAYS,2 DAYS,97 DAYS,107.0
a-place-called-silence,A PLACE CALLED SILENCE,N/A,movie,"Crime, Dramas, Thriller","범죄, 드라마, 스릴러",2024,1시간 59분,N/A,China,6.1,470,False,Netflix,Boon-lip Quah,1,3 DAYS,3 DAYS,4 DAYS,119.0
eungyo,은교,N/A,movie,"Dramas, Romance","드라마, 로맨스",2012,2시간 9분,N/A,대한민국,N/A,N/A,True,"Netflix, wavve, Netflix basic with Ads",Jung Ji-woo,1,5 DAYS,14 DAYS,235 DAYS,129.0
sonic-x,소닉 X,ソニックX,tv,"Action, Comedy, Anime, Family, Fantasy, Sci-Fi","액션, 코미디, 애니메이션, 가족, 판타지, SF",2003,21분,ALL,일본,N/A,N/A,True,"Netflix, Watcha, Netflix basic with Ads, Naver Store",N/A,62,0 DAYS,2 DAYS,76 DAYS,21.0
american-ultra,아메리칸 울트라,American Ultra,movie,"Action, Comedy","액션, 코미디",2015,1시간 36분,N/A,"스위스, 미국",6.1,97k,True,"Netflix, wavve, FilmBox+, Netflix basic with Ads",Nima Nourizadeh,2,6 DAYS,37 DAYS,436 DAYS,96.0
kuiko,KUIKO,குய்கோ,movie,"Family, Dramas, Comedy","가족, 드라마, 코미디",2023,1시간 52분,12+,인도,5.5,213,False,"Netflix, Netflix basic with Ads",Arul Chezhiyan,57,0 DAYS,1 DAYS,6 DAYS,112.0
incantation,주(咒),咒,movie,Horror,공포,2022,1시간 51분,N/A,대만,6.2,23k,False,"Netflix, Netflix basic with Ads",Kevin Ko,2,5 DAYS,14 DAYS,214 DAYS,111.0
meonibol,머니볼,Moneyball,movie,"Dramas, Sport","드라마, 스포츠",2011,2시간 13분,N/A,미국,7.6,475k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Bennett Miller,5,2 DAYS,71 DAYS,2173 DAYS,133.0
addams-family-values,아담스 패밀리 2,Addams Family Values,movie,"Comedy, Family, Fantasy","코미디, 가족, 판타지",1993,1시간 34분,15,미국,6.8,114k,True,"Netflix, Netflix basic with Ads, Naver Store",Barry Sonnenfeld,8,1 DAYS,42 DAYS,658 DAYS,94.0
in-the-realm-of-the-senses,감각의 제국,愛のコリーダ,movie,"Dramas, Romance, Unknown","드라마, 로맨스, 유럽에서 제작",1976,1시간 45분,N/A,"프랑스, 일본",6.6,23k,True,"Netflix, Netflix basic with Ads, Watcha",Nagisa Ōshima,1,2 DAYS,7 DAYS,355 DAYS,105.0
malhal-su-eobsneun-bimil,말할 수 없는 비밀,不能說的秘密,movie,"Fantasy, Dramas, Thriller, Music, Romance","판타지, 드라마, 스릴러, 음악, 로맨스",2007,1시간 41분,N/A,"홍콩, 대만",N/A,N/A,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Jay Chou,19,0 DAYS,6 DAYS,212 DAYS,101.0
deo-beseuteu-obeu-eneomijeu,더 베스트 오브 에너미즈,The Best of Enemies,movie,"Dramas, History","드라마, 역사",2019,2시간 13분,N/A,미국,7.3,20k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Robin Bissell,1,2 DAYS,7 DAYS,138 DAYS,133.0
intu-deo-paieo-sarajin-ddal,인투 더 파이어: 사라진 딸,Into the Fire: The Lost Daughter,tv,"Documentary, Crime, Thriller","다큐멘터리, 범죄, 스릴러",2024,1시간 16분,15,미국,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,1,3 DAYS,9 DAYS,54 DAYS,76.0
peopi-gujodae,PEOPI GUJODAE,PAW Patrol,tv,"Anime, Comedy, Family","애니메이션, 코미디, 가족",2013,17분,N/A,"미국, 캐나다",6.1,7k,False,"Netflix, Netflix basic with Ads",N/A,19,0 DAYS,32 DAYS,2989 DAYS,17.0
i-meosjin-segyee-cugbogeul,이 멋진 세계에 축복을!,この素晴らしい世界に祝福を！,tv,"Action, Anime, Comedy, Sci-Fi, Fantasy","액션, 애니메이션, 코미디, SF, 판타지",2016,23분,15,일본,7.8,16k,True,"Netflix, Crunchyroll, Naver Store, Watcha, Netflix basic with Ads",N/A,7,2 DAYS,17 DAYS,627 DAYS,23.0
raempeiji,램페이지,Rampage,movie,"Action, Sci-Fi","액션, SF",2018,1시간 47분,N/A,미국,6.1,190k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Brad Peyton,2,7 DAYS,94 DAYS,514 DAYS,107.0
paddington-2,패딩턴 2,Paddington 2,movie,"Family, Action, Comedy, Unknown","가족, 액션, 코미디, 유럽에서 제작",2017,1시간 44분,N/A,"영국, 프랑스",7.8,98k,True,"Netflix, wavve, Netflix basic with Ads, Watcha",Paul King,8,2 DAYS,48 DAYS,968 DAYS,104.0
transformers-prime,TRANSFORMERS PRIME,N/A,tv,"Anime, Action, Family, Sci-Fi","애니메이션, 액션, 가족, SF",2010,22분,12,미국,N/A,N/A,True,"Watcha, Netflix basic with Ads, Netflix",N/A,11,0 DAYS,12 DAYS,669 DAYS,22.0
guspateuneo,굿파트너,N/A,tv,Dramas,드라마,2024,1시간 3분,15,대한민국,N/A,N/A,True,"Netflix, wavve, Netflix basic with Ads",Kim Ga-ram,2,2 DAYS,21 DAYS,113 DAYS,63.0
eoneu-nal-uri-jip-hyeon-gwaneuro-myeolmang-i-deureowatda,EONEU NAL URI JIP HYEON-GWANEURO MYEOLMANG-I DEUREOWATDA,Doom at Your Service,tv,"Dramas, Fantasy, Romance, Sci-Fi","드라마, 판타지, 로맨스, SF",2021,1시간 4분,15,대한민국,N/A,N/A,True,"Netflix, Netflix basic with Ads, Naver Store",Kwon Young-il,15,0 DAYS,3 DAYS,21 DAYS,64.0
geughanjigeob,극한직업,N/A,movie,"Comedy, Crime, Action","코미디, 범죄, 액션",2019,1시간 51분,15,대한민국,7.0,14k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Lee Byeong-heon,2,14 DAYS,117 DAYS,1169 DAYS,111.0
rhythm-flow-france,리듬 & 플로우: 프랑스,Nouvelle École,tv,"Reality-TV, Music","Reality TV, 음악",2022,45분,19,프랑스,6.4,268,False,"Netflix, Netflix basic with Ads",N/A,15,0 DAYS,5 DAYS,23 DAYS,45.0
peaky-blinders,피키 블라인더스,Peaky Blinders,tv,"Dramas, Crime","드라마, 범죄",2013,58분,19,영국,8.7,679k,False,"Netflix, Netflix basic with Ads",N/A,2,54 DAYS,1837 DAYS,3219 DAYS,58.0
frances-ha,프란시스 하,Frances Ha,movie,"Comedy, Dramas, Romance","코미디, 드라마, 로맨스",2013,1시간 26분,15,"브라질, 미국",7.4,96k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Noah Baumbach,1,5 DAYS,29 DAYS,1558 DAYS,86.0
spider-man-homecoming,스파이더맨: 홈커밍,Spider-Man: Homecoming,movie,"Dramas, Action, Sci-Fi","드라마, 액션, SF",2017,2시간 13분,N/A,미국,7.4,734k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Jon Watts,1,111 DAYS,1711 DAYS,2407 DAYS,133.0
ingangye-saenghwalgirog,인간계 생활기록,汉化日记,tv,"Anime, Comedy, Fantasy","애니메이션, 코미디, 판타지",2019,14분,N/A,China,7.0,137,False,"Netflix, Netflix basic with Ads",N/A,1,1 DAYS,10 DAYS,206 DAYS,14.0
eo-peureieo-bipo-don,여명의 기도,A Prayer Before Dawn,movie,"Action, Crime, Dramas, Sport","액션, 범죄, 드라마, 스포츠",2018,1시간 56분,N/A,"미국, WEBAPP_COUNTRY_KH, China, 프랑스, 영국",6.8,27k,False,"Netflix, Netflix basic with Ads",Jean-Stéphane Sauvaire,1,3 DAYS,14 DAYS,374 DAYS,116.0
seinteu-agata,세인트 아가타,St. Agatha,movie,"Horror, Thriller","공포, 스릴러",2018,1시간 43분,N/A,미국,N/A,N/A,True,"Netflix, wavve, Netflix basic with Ads",Darren Lynn Bousman,1,1 DAYS,10 DAYS,59 DAYS,103.0
the-resident,더 레지던트,The Resident,tv,Dramas,드라마,2018,44분,15,미국,7.8,36k,True,"Netflix, Disney Plus, Netflix basic with Ads",N/A,2,3 DAYS,82 DAYS,2153 DAYS,44.0
keuriseumaseue-jibe-garyeomyeon,크리스마스에 집에 가려면,Home for Christmas,tv,"Dramas, Romance, Comedy","드라마, 로맨스, 코미디",2019,29분,N/A,노르웨이,7.7,17k,False,"Netflix, Netflix basic with Ads",Per-Olav Sørensen,9,1 DAYS,13 DAYS,212 DAYS,29.0
naiseu-geolseu,나이스 걸스,Nice Girls,movie,"Action, Comedy, Crime","액션, 코미디, 범죄",2024,1시간 32분,N/A,프랑스,4.1,995,False,"Netflix, Netflix basic with Ads",Noémie Saglio,2,2 DAYS,4 DAYS,20 DAYS,92.0
bijai-69se,"비자이, 69세",Vijay 69,movie,"Dramas, Sport, Comedy","드라마, 스포츠, 코미디",2024,1시간 52분,N/A,인도,N/A,N/A,False,,N/A,N/A,N/A,N/A,N/A,112.0
trolls-3,트롤: 밴드 투게더,Trolls Band Together,movie,"Comedy, Family, Fantasy, Anime, Music","코미디, 가족, 판타지, 애니메이션, 음악",2023,1시간 31분,N/A,"미국, 영국",6.0,17k,True,"Netflix, wavve, Netflix basic with Ads",Walt Dohrn,13,0 DAYS,13 DAYS,260 DAYS,91.0
decision-to-leave,HEOJIL KYOLSHIM,Decision to Leave,movie,"Crime, Dramas, Romance, Thriller","범죄, 드라마, 로맨스, 스릴러",2022,2시간 19분,15,대한민국,7.3,59k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Park Chan-wook,1,113 DAYS,255 DAYS,858 DAYS,139.0
pam-seupeuringseu,팜 스프링스,Palm Springs,movie,"Sci-Fi, Comedy, Romance, Fantasy","SF, 코미디, 로맨스, 판타지",2020,1시간 30분,15,미국,7.4,191k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Max Barbakow,3,16 DAYS,194 DAYS,1265 DAYS,90.0
gus-geolseu,굿 걸스,Good Girls,tv,"Dramas, Crime, Comedy","드라마, 범죄, 코미디",2018,42분,19,미국,7.7,63k,False,"Netflix, Netflix basic with Ads",N/A,1,9 DAYS,80 DAYS,1390 DAYS,42.0
the-intern,인턴,The Intern,movie,"Comedy, Dramas","코미디, 드라마",2015,2시간 2분,N/A,미국,7.1,284k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Nancy Meyers,3,6 DAYS,123 DAYS,2368 DAYS,122.0
bunnoyi-jilju-deo-sebeun,분노의 질주: 더 세븐,Furious 7,movie,"Action, Thriller, Crime","액션, 스릴러, 범죄",2015,2시간 17분,15,미국,7.1,421k,True,"wavve, Netflix, Naver Store, Amazon Prime Video, Watcha, Netflix basic with Ads",James Wan,1,7 DAYS,149 DAYS,1635 DAYS,137.0
persuasion,설득,Persuasion,movie,"Romance, Dramas, Comedy","로맨스, 드라마, 코미디",2022,1시간 48분,N/A,"미국, 영국",5.8,37k,False,"Netflix, Netflix basic with Ads",Carrie Cracknell,15,0 DAYS,13 DAYS,73 DAYS,108.0
beulreideu-reoneo-2049,블레이드 러너 2049,Blade Runner 2049,movie,"Sci-Fi, Dramas, Action, Thriller","SF, 드라마, 액션, 스릴러",2017,2시간 44분,15,"미국, 캐나다, 영국",8.0,689k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Denis Villeneuve,1,73 DAYS,1044 DAYS,2684 DAYS,164.0
hedeusyas,헤드샷,Headshot,movie,"Action, Thriller, Dramas","액션, 스릴러, 드라마",2016,1시간 57분,N/A,인도네시아,6.3,16k,False,"Netflix, Netflix basic with Ads","Timo Tjahjanto , Kimo Stamboel",1,4 DAYS,10 DAYS,200 DAYS,117.0
alias-grace,그레이스,Alias Grace,tv,"Dramas, Crime, Thriller","드라마, 범죄, 스릴러",2017,44분,19,캐나다,7.6,39k,True,"Netflix, wavve, Netflix basic with Ads",N/A,1,4 DAYS,19 DAYS,714 DAYS,44.0
sangryusahoe,상류사회,N/A,movie,"Dramas, Crime, Romance","드라마, 범죄, 로맨스",2018,2시간 7분,N/A,대한민국,N/A,N/A,True,"Netflix, wavve, Netflix basic with Ads",Byun Hyuk,2,3 DAYS,7 DAYS,177 DAYS,127.0
ami-obeu-deo-dedeu,아미 오브 더 데드,Army of the Dead,movie,"Horror, Action, Sci-Fi, Thriller, War, Crime, Dramas","공포, 액션, SF, 스릴러, 전쟁, 범죄, 드라마",2021,2시간 18분,N/A,미국,5.8,192k,False,"Netflix, Netflix basic with Ads",Zack Snyder,1,9 DAYS,52 DAYS,247 DAYS,138.0
maharaja-2024,마하라지,Maharaja,movie,"Dramas, Thriller, Action, Crime","드라마, 스릴러, 액션, 범죄",2024,2시간 21분,N/A,인도,8.5,52k,False,"Netflix, Netflix basic with Ads",Nithilan Swaminathan,36,0 DAYS,6 DAYS,54 DAYS,141.0
peopegteu-keeo,퍼펙트 케어,I Care a Lot,movie,"Crime, Dramas, Thriller, Comedy","범죄, 드라마, 스릴러, 코미디",2021,1시간 58분,15,"영국, 미국",6.4,150k,True,"Netflix, Netflix basic with Ads, Naver Store",J Blakeson,1,21 DAYS,95 DAYS,752 DAYS,118.0
seogi-1nyeon,서기 1년,Year One,movie,"Comedy, Action, Unknown","코미디, 액션, 유럽에서 제작",2009,1시간 37분,15+,미국,4.9,105k,True,"Netflix, Netflix basic with Ads, Naver Store",Harold Ramis,5,1 DAYS,10 DAYS,89 DAYS,97.0
ripley,RIPLEY,N/A,tv,"Crime, Dramas, Thriller","범죄, 드라마, 스릴러",2024,56분,19,미국,8.1,52k,False,"Netflix, Netflix basic with Ads",N/A,3,29 DAYS,111 DAYS,230 DAYS,56.0
still-alice,스틸 앨리스,Still Alice,movie,Dramas,드라마,2014,1시간 40분,N/A,"프랑스, 영국, 미국",7.5,145k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store","Richard Glatzer , Wash Westmoreland",7,2 DAYS,18 DAYS,263 DAYS,100.0
geudaedeul-eoddeohge-sal-geosinga,그대들은 어떻게 살 것인가,君たちはどう生きるか,movie,"Anime, Action, Fantasy, Family, Dramas","애니메이션, 액션, 판타지, 가족, 드라마",2023,2시간 4분,N/A,일본,7.5,69k,False,"Netflix, Netflix basic with Ads",Hayao Miyazaki,1,4 DAYS,216 DAYS,399 DAYS,124.0
chicken-run-dawn-of-the-nugget,치킨 런: 너겟의 탄생,Chicken Run: Dawn of the Nugget,movie,"Family, Anime, Action, Comedy","가족, 애니메이션, 액션, 코미디",2023,1시간 41분,N/A,영국,6.4,25k,False,"Netflix, Netflix basic with Ads",Sam Fell,9,1 DAYS,7 DAYS,57 DAYS,101.0
jemini-maen,제미니 맨,Gemini Man,movie,"Thriller, Action, Sci-Fi","스릴러, 액션, SF",2019,1시간 57분,N/A,"미국, China",5.7,125k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Ang Lee,1,6 DAYS,41 DAYS,527 DAYS,117.0
carol,캐롤,Carol,movie,"Romance, Dramas, Unknown","로맨스, 드라마, 유럽에서 제작",2015,1시간 58분,N/A,"미국, 영국",7.2,145k,True,"Netflix, wavve, Netflix basic with Ads",Todd Haynes,1,4 DAYS,88 DAYS,2076 DAYS,118.0
damsel,댐즐,Damsel,movie,"Action, Fantasy","액션, 판타지",2024,1시간 50분,N/A,미국,6.1,101k,False,"Netflix, Netflix basic with Ads",Juan Carlos Fresnadillo,2,5 DAYS,45 DAYS,224 DAYS,110.0
the-skeleton-twins,스켈리턴 트윈스,The Skeleton Twins,movie,"Dramas, Comedy, Romance","드라마, 코미디, 로맨스",2014,1시간 32분,N/A,미국,6.8,45k,True,"Netflix, wavve, Netflix basic with Ads",Craig Johnson,5,1 DAYS,4 DAYS,90 DAYS,92.0
eunhon,은혼,銀魂,tv,"Action, Anime, Comedy, Sci-Fi","액션, 애니메이션, 코미디, SF",2006,24분,19,일본,8.7,16k,True,"Netflix, Netflix basic with Ads, Crunchyroll, Naver Store",N/A,1,6 DAYS,32 DAYS,1340 DAYS,24.0
ooku-the-inner-chambers,오오쿠,Ôoku: The Inner Chambers,tv,"Anime, Dramas, Fantasy, Romance","애니메이션, 드라마, 판타지, 로맨스",2023,49분,19,일본,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,1,1 DAYS,10 DAYS,210 DAYS,49.0
death-note,데스노트,Death Note,movie,"Crime, Fantasy, Horror, Thriller, Dramas","범죄, 판타지, 공포, 스릴러, 드라마",2017,1시간 41분,N/A,미국,4.5,92k,False,"Netflix, Netflix basic with Ads",Adam Wingard,1,7 DAYS,25 DAYS,352 DAYS,101.0
trolls,트롤,Trolls,movie,"Family, Anime, Fantasy, Action, Comedy, Music, Romance","가족, 애니메이션, 판타지, 액션, 코미디, 음악, 로맨스",2016,1시간 32분,N/A,미국,6.4,94k,True,"wavve, Netflix, Naver Store, Amazon Prime Video, Netflix basic with Ads",Mike Mitchell,3,2 DAYS,62 DAYS,944 DAYS,92.0
golden-kamuy,골든 카무이,Golden Kamuy,movie,"History, Western, Action, Comedy","역사, 서부, 액션, 코미디",2024,2시간 7분,N/A,일본,6.3,2k,False,"Netflix, Netflix basic with Ads",Shigeaki Kubo,2,2 DAYS,4 DAYS,101 DAYS,127.0
gonggiinhyeong,공기인형,空気人形,movie,"Dramas, Fantasy, Romance","드라마, 판타지, 로맨스",2009,1시간 52분,15,일본,N/A,N/A,True,"Netflix, Netflix basic with Ads, Naver Store",Hirokazu Kore-eda,23,0 DAYS,3 DAYS,72 DAYS,112.0
beulraeg,블랙,Black,movie,Dramas,드라마,2005,2시간 4분,N/A,인도,8.1,37k,False,Netflix,Sanjay Leela Bhansali,3,2 DAYS,9 DAYS,214 DAYS,124.0
teuribisa,트리비사,樹大招風,movie,"Dramas, Crime","드라마, 범죄",2016,1시간 36분,15+,홍콩,N/A,N/A,True,"Netflix, Netflix basic with Ads, Naver Store","Jevons Au Man-Kit , Vicky Wong Wai Kit , Frank Hui",19,0 DAYS,3 DAYS,12 DAYS,96.0
boomerang-family,고령화 가족,N/A,movie,"Dramas, Comedy","드라마, 코미디",2013,1시간 52분,15,대한민국,6.5,346,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Song Hae-sung,205,0 DAYS,0 DAYS,56 DAYS,112.0
the-playlist,플레이리스트,The Playlist,tv,"Music, Dramas","음악, 드라마",2022,45분,15,스웨덴,7.4,15k,True,"Netflix, wavve, Netflix basic with Ads",N/A,4,2 DAYS,20 DAYS,222 DAYS,45.0
7beonbangyi-gijeog,7번방의 기적,Miracle in Cell No. 7,movie,Dramas,드라마,2019,2시간 12분,15,터키,8.2,57k,False,"Netflix, Netflix basic with Ads",Mehmet Ada Öztekin,10,1 DAYS,7 DAYS,103 DAYS,132.0
reon-2020,런,Run,movie,"Thriller, Horror, Dramas","스릴러, 공포, 드라마",2020,1시간 30분,15,미국,6.7,100k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Aneesh Chaganty,1,17 DAYS,107 DAYS,1036 DAYS,90.0
bulggocceoreom-nabiceoreom,불꽃처럼 나비처럼,N/A,movie,"Romance, Dramas, Action, History","로맨스, 드라마, 액션, 역사",2009,2시간 4분,15,대한민국,N/A,N/A,True,"Netflix, wavve, Netflix basic with Ads",Kim Yong-gyun,52,0 DAYS,1 DAYS,150 DAYS,124.0
exhuma,파묘,N/A,movie,"Horror, Thriller, Dramas","공포, 스릴러, 드라마",2024,2시간 14분,15,대한민국,6.9,17k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Jang Jae-hyun,1,55 DAYS,121 DAYS,259 DAYS,134.0
the-contact,접속,N/A,movie,"Romance, Dramas","로맨스, 드라마",1997,1시간 45분,15,대한민국,6.8,524,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Chang Youn-hyun,17,0 DAYS,3 DAYS,127 DAYS,105.0
barking-dogs-never-bite,플란다스의 개,N/A,movie,"Crime, Dramas, Comedy, Thriller","범죄, 드라마, 코미디, 스릴러",2000,1시간 50분,N/A,대한민국,6.9,11k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",N/A,1,3 DAYS,11 DAYS,484 DAYS,110.0
yeonin,연인,十面埋伏,movie,"Action, Dramas, Documentary, Romance","액션, 드라마, 다큐멘터리, 로맨스",2004,1시간 59분,N/A,"호주, China, 홍콩, 미국",7.5,117k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Stanley J. Orzel,29,0 DAYS,2 DAYS,79 DAYS,119.0
salut-damour,장수상회,N/A,movie,"Romance, Comedy, Dramas","로맨스, 코미디, 드라마",2015,1시간 52분,N/A,대한민국,7.2,587,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Kang Je-kyu,12,0 DAYS,1 DAYS,42 DAYS,112.0
evil-dead,이블 데드,Evil Dead,movie,Horror,공포,2013,1시간 31분,N/A,미국,6.5,203k,True,"Netflix, wavve, Netflix basic with Ads",Fede Álvarez,2,12 DAYS,59 DAYS,780 DAYS,91.0
true-story,트루 스토리,True Story,tv,"Crime, Dramas, Thriller","범죄, 드라마, 스릴러",2021,39분,19,미국,7.4,21k,False,"Netflix, Netflix basic with Ads",N/A,2,2 DAYS,12 DAYS,199 DAYS,39.0
the-gossip,썰,N/A,movie,"Horror, Thriller, Comedy","공포, 스릴러, 코미디",2021,1시간 24분,N/A,대한민국,6.4,86,True,"Netflix, wavve, Netflix basic with Ads",Hwang Seung-jae,12,0 DAYS,1 DAYS,10 DAYS,84.0
maseukeu,마스크,The Mask,movie,"Comedy, Fantasy, Action, Crime, Unknown","코미디, 판타지, 액션, 범죄, 유럽에서 제작",1994,1시간 41분,15,미국,6.9,433k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Chuck Russell,25,0 DAYS,10 DAYS,388 DAYS,101.0
season-3-2009,가십걸,Gossip Girl,tv,"Thriller, Dramas, Romance","스릴러, 드라마, 로맨스",2007,42분,15,미국,7.5,198k,True,"Netflix, Netflix basic with Ads, Naver Store",N/A,4,2 DAYS,174 DAYS,3147 DAYS,42.0
syepeuyi-teibeul,셰프의 테이블,Chef's Table,tv,Documentary,다큐멘터리,2015,50분,15,미국,8.5,17k,False,"Netflix, Netflix basic with Ads",N/A,5,3 DAYS,55 DAYS,1178 DAYS,50.0
alpointeu,알포인트,N/A,movie,"Action, History, Horror, War","액션, 역사, 공포, 전쟁",2004,1시간 47분,15,대한민국,N/A,N/A,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Su-chang Kong,18,0 DAYS,4 DAYS,174 DAYS,107.0
as-keuriseumaseurani,앗! 크리스마스라니,Yoh! Christmas,tv,"Comedy, Romance, Dramas","코미디, 로맨스, 드라마",2023,35분,15,남아프리카공화국,5.3,216,False,"Netflix, Netflix basic with Ads",N/A,22,0 DAYS,1 DAYS,3 DAYS,35.0
the-twilight-saga-breaking-dawn-part-1,브레이킹 던 PART 1,The Twilight Saga: Breaking Dawn - Part 1,movie,"Romance, Fantasy, Thriller, Dramas","로맨스, 판타지, 스릴러, 드라마",2011,1시간 57분,15,미국,4.9,258k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Bill Condon,23,0 DAYS,3 DAYS,222 DAYS,117.0
scream-3,스크림 3,Scream 3,movie,"Horror, Thriller","공포, 스릴러",2000,1시간 56분,N/A,미국,5.7,169k,False,"Netflix, Netflix basic with Ads",Wes Craven,35,0 DAYS,14 DAYS,136 DAYS,116.0
i-think-you-should-leave-with-tim-robinson,팀 로빈슨: 나가주시죠,I Think You Should Leave with Tim Robinson,tv,Comedy,코미디,2019,16분,19,미국,8.0,22k,False,"Netflix, Netflix basic with Ads",N/A,4,2 DAYS,29 DAYS,241 DAYS,16.0
mission-impossible-rogue-nation,미션 임파서블: 로그네이션,Mission: Impossible – Rogue Nation,movie,"Action, Thriller","액션, 스릴러",2015,2시간 11분,15,미국,7.4,418k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Christopher McQuarrie,1,20 DAYS,250 DAYS,1977 DAYS,131.0
